Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:beam_bool.bopt/3                                                   69       0.354       0.166     
:beam_z.undo_renames/1                                              64       0.352       0.280     
:v3_codegen."-cg_basic_block/7-anonymous-0-"/4                       3       0.350       0.006     
:sys_core_fold.eval_case/2                                           7       0.350       0.116     
:gb_sets.add/2                                                      17       0.348       0.057     
:beam_validator."-valfun_4/2-anonymous-1-"/2                         3       0.345       0.006     
:v3_codegen.cg_basic_block/4                                         3       0.344       0.022     
:dict.store/3                                                       12       0.344       0.052     
Path.relative_to/2                                                   3       0.344       0.021     
Module.LocalsTracker.collect_warnings/2                              1       0.342       0.004     
:v3_kernel."-atomic_list/3-anonymous-0-"/3                          20       0.341       0.083     
:beam_block.find_fixpoint/2                                          9       0.340       0.025     
:beam_jump.move_1/3                                                 70       0.339       0.224     
:elixir_errors.warn/3                                                1       0.338       0.003     
:dict.fold_dict/3                                                   20       0.338       0.027     
Module.LocalsTracker.reachable_from/2                                1       0.337       0.004     
:erl_lint.eval_file_attribute/2                                      2       0.334       0.003     
:code.delete/1                                                       1       0.332       0.002     
:sys_core_fold.case_opt_args/5                                      11       0.331       0.048     
:erl_lint.eval_file_attr/2                                          14       0.331       0.054     
:gb_sets.add_element/2                                              15       0.330       0.024     
:sys_pre_expand.expr/2                                              15       0.328       0.022     
:beam_utils.live_opt_block/4                                        42       0.327       0.169     
:v3_core.full_anno/2                                                25       0.323       0.041     
:lists.splitwith/2                                                  18       0.323       0.035     
:filename.join/2                                                     2       0.323       0.008     
:beam_jump.share/1                                                   7       0.323       0.019     
:erl_expand_records.module/2                                         2       0.322       0.013     
:erl_lint.clauses/2                                                  3       0.321       0.006     
anonymous fn/3 in :erl_parse.map_anno/2                             65       0.318       0.173     
:beam_block.move_allocates/1                                        71       0.316       0.249     
Path.split/1                                                         6       0.316       0.027     
:beam_block."-opt_block/1-anonymous-0-"/1                            9       0.315       0.032     
:beam_type.flt_need_heap_1/4                                        35       0.314       0.181     
:dict.fold_segs/4                                                    8       0.311       0.017     
:lists.reverse/2                                                   277       0.310       0.310     
:beam_validator.merge_states/3                                       5       0.307       0.017     
:beam_type.update/2                                                106       0.307       0.151     
:lists.member/2                                                    245       0.305       0.305     
