Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:sys_core_dsetel.visit_module/1                                      2       0.308       0.006     
:v3_core.attribute/1                                                 1       0.307       0.002     
:gb_trees.insert/3                                                  64       0.302       0.134     
:sys_core_dsetel.visit_module_1/3                                    9       0.300       0.016     
:sys_core_fold.clause_1/5                                           10       0.299       0.040     
:elixir_module.format_error/1                                        1       0.299       0.003     
:dict.fold_dict/3                                                   20       0.299       0.021     
:beam_block.opt_block/1                                              9       0.299       0.018     
:elixir_module.build/5                                               1       0.298       0.031     
:v3_kernel.atomic_list/3                                             6       0.297       0.006     
:beam_lib.all_chunks/1                                               1       0.297       0.001     
:beam_flatten.module/2                                               2       0.297       0.004     
:beam_lib.read_all_chunks/1                                          1       0.296       0.006     
:sys_pre_expand.function/5                                           3       0.293       0.009     
:erl_anno.set_file/2                                                19       0.293       0.021     
:beam_flatten."-module/2-lc$^0/1-0-"/1                               9       0.293       0.023     
:erl_lint.check_option_functions/4                                   6       0.291       0.054     
:gb_sets.to_list/2                                                 193       0.290       0.284     
:filename.absname/2                                                  2       0.290       0.007     
:v3_codegen.adjust_stack/4                                          17       0.288       0.069     
:erl_lint.nowarn/0                                                   9       0.288       0.027     
:sys_pre_expand.clauses/2                                            8       0.281       0.028     
:lists.reverse/2                                                   277       0.279       0.279     
:sys_core_dsetel.visit/2                                            53       0.278       0.130     
:dict.fold_segs/4                                                    8       0.278       0.013     
:lists.usort/1                                                      95       0.277       0.099     
:file.get_cwd/0                                                      5       0.274       0.005     
:erl_anno.set_anno/3                                                28       0.274       0.087     
:ordsets.from_list/1                                                64       0.273       0.069     
:beam_flatten.function/1                                             7       0.270       0.021     
:file.call/2                                                         5       0.269       0.017     
:erl_bits.set_bit/1                                                 13       0.269       0.019     
:filename.absname_join/2                                             2       0.267       0.005     
:beam_z.module/2                                                     2       0.266       0.004     
:dict.fold_seg/4                                                    68       0.265       0.165     
:v3_kernel."-atomic_list/3-anonymous-0-"/3                          20       0.262       0.060     
:beam_z."-module/2-lc$^0/1-0-"/1                                     9       0.262       0.023     
Module.LocalsTracker.reduce_reachable/3                              1       0.262       0.008     
:beam_lib.scan_beam/2                                                2       0.261       0.002     
:ordsets.union/1                                                    37       0.260       0.075     
:dict.store/3                                                       12       0.259       0.039     
:v3_kernel.umatch/3                                                 14       0.257       0.045     
:v3_core.full_anno/2                                                25       0.250       0.025     
:beam_utils.index_label/3                                           25       0.250       0.025     
:garbage_collect                                                    94       0.250       0.250     
:v3_codegen.return_cg/5                                              4       0.248       0.016     
:beam_jump.move_1/3                                                 70       0.247       0.156     
:lists.member/2                                                    245       0.245       0.245     
:gb_sets.add/2                                                      17       0.244       0.034     
:erl_bits.set_bit_1/2                                               24       0.244       0.060     
:beam_clean.bs_clean_saves/1                                         7       0.243       0.021     
anonymous fn/3 in :erl_parse.map_anno/2                             65       0.241       0.130     
:elixir_errors.warn/3                                                1       0.240       0.002     
:beam_z.function/1                                                   7       0.239       0.014     
:beam_peep.peep/3                                                   66       0.238       0.131     
:gb_sets.add_element/2                                              15       0.237       0.016     
:filename.join/2                                                     2       0.231       0.006     
:sets.to_list/1                                                      4       0.229       0.006     
:beam_block.find_fixpoint/2                                          9       0.228       0.018     
:v3_codegen."-cg_basic_block/7-anonymous-0-"/4                       3       0.226       0.003     
:erl_lint.eval_file_attribute/2                                      2       0.226       0.002     
:sys_pre_expand.exprs/2                                             10       0.225       0.020     
:beam_z.undo_renames/1                                              64       0.225       0.173     
:erl_lint.eval_file_attr/2                                          14       0.224       0.036     
:v3_codegen.cg_basic_block/4                                         3       0.223       0.016     
:lists.any/2                                                        73       0.223       0.134     
:erl_lint.clauses/2                                                  3       0.222       0.003     
:erl_expand_records.module/2                                         2       0.217       0.010     
:beam_clean.find_all_used/3                                          9       0.215       0.027     
:beam_jump.share/1                                                   7       0.213       0.014     
:v3_kernel.group_value/2                                             2       0.211       0.006     
:beam_block."-opt_block/1-anonymous-0-"/1                            9       0.210       0.018     
:v3_codegen.need_heap/2                                             17       0.209       0.068     
:beam_type.update/2                                                106       0.208       0.106     
:beam_type.flt_need_heap_1/4                                        35       0.207       0.105     
:sys_pre_expand.expr/2                                              15       0.205       0.017     
:gb_sets.from_ordset/1                                              29       0.205       0.061     
:sys_core_fold.eval_case/2                                           7       0.204       0.055     
:lists.splitwith/2                                                  18       0.203       0.018     
:v3_codegen.clear_dead_reg/3                                        31       0.202       0.062     
:filename.join1/4                                                  132       0.202       0.192     
:v3_kernel.atomic/3                                                 20       0.200       0.080     
:compile.comp_ret_ok/1                                               2       0.200       0.021     
:cerl_sets."-from_list/1-lc$^0/1-0-"/1                             117       0.198       0.198     
:beam_validator.branch_state/2                                       5       0.198       0.026     
:v3_kernel.match_var/4                                               2       0.195       0.004     
:io_lib_format.build/1                                               2       0.195       0.004     
:v3_kernel.body/3                                                   14       0.191       0.014     
:beam_utils.live_opt_block/4                                        42       0.191       0.092     
:beam_block.move_allocates/1                                        71       0.189       0.154     
:erl_lint.set_form_file/2                                           10       0.188       0.021     
:elixir_locals.setup/1                                               1       0.188       0.008     
:dict.fetch/2                                                       14       0.187       0.086     
:beam_clean.remove_unused/3                                          9       0.187       0.032     
:v3_core.cclause/3                                                  16       0.186       0.048     
:gb_sets.is_member/2                                                41       0.186       0.056     
:lists.splitwith/3                                                  47       0.185       0.110     
:beam_validator.tail_call/3                                          5       0.184       0.025     
:sets.from_list/1                                                    4       0.183       0.010     
:v3_core.used_in_any/1                                              39       0.182       0.040     
Path.relative_to/2                                                   3       0.182       0.013     
:sys_pre_expand.expr_bin/2                                           1       0.179       0.002     
:beam_validator.set_type_reg/3                                      11       0.178       0.057     
:beam_reorder.reorder_1/3                                           75       0.175       0.092     
:elixir_errors.file_format/2                                         1       0.173       0.002     
:sys_core_fold.var_list/2                                           17       0.172       0.017     
:erl_lint.exprs/3                                                   10       0.172       0.043     
:beam_split.module/2                                                 2       0.172       0.004     
:erl_expand_records.forms/2                                         14       0.171       0.031     
:erl_lint.check_unused_records/2                                     2       0.168       0.014     
:beam_split."-module/2-lc$^0/1-0-"/1                                 9       0.168       0.023     
:v3_codegen.save_stack/4                                            17       0.167       0.086     
:gb_trees.insert_1/4                                               114       0.167       0.166     
:beam_type.simplify_float_1/4                                       35       0.167       0.070     
:v3_kernel.select_types/2                                            4       0.166       0.004     
:compile.expand_opts/1                                               4       0.166       0.019     
Module.LocalsTracker.start_link/0                                    1       0.166       0.001     
:gen_server.start_link/3                                             1       0.165       0.002     
:sys_core_fold.case_opt_args/5                                      11       0.164       0.028     
:io_lib_format.build/3                                              25       0.164       0.056     
:erl_bits.merge_bittype/2                                           18       0.164       0.091     
:gen.start/5                                                         1       0.163       0.001     
Path.split/1                                                         6       0.163       0.013     
:v3_kernel."-select_types/2-lc$^0/1-0-"/2                           22       0.162       0.042     
:gen.do_spawn/5                                                      1       0.162       0.006     
:dict.on_bucket/3                                                   15       0.162       0.082     
:beam_clean.bs_restores/2                                          135       0.162       0.162     
:sys_core_fold.pattern/3                                            15       0.161       0.039     
:gb_trees.lookup/2                                                  47       0.161       0.056     
:v3_core.cclauses/3                                                  7       0.159       0.007     
:elixir_compiler.beam_location/1                                     2       0.158       0.006     
:lists.usplit_2/5                                                   61       0.157       0.078     
:sys_core_fold.warn_no_clause_match/2                                7       0.154       0.035     
:compile.messages_per_file/1                                         2       0.154       0.016     
:elixir_lexical.dest/1                                               2       0.152       0.004     
:v3_core.upattern_list/3                                            26       0.150       0.086     
:proc_lib.start_link/5                                               1       0.150       0.003     
:erl_lint.check_undefined_functions/1                                2       0.150       0.012     
